"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"1",280,30.6822481646217,-0.405063291139241,2042,0.29746835443038,0.768,2
"2",281,30.6822481646217,-0.367088607594937,2040,0.316455696202532,0.76,2
"3",282,30.6822481646217,-0.468354430379747,2043,0.265822784810126,0.772,2
"4",283,30.6822481646217,-0.367088607594937,2016,0.316455696202532,0.664,2
"5",284,30.6822481646217,-0.253164556962025,2016,0.373417721518987,0.664,2
"6",285,30.6822481646217,-0.20253164556962,2010,0.39873417721519,0.64,2
"7",286,30.6822481646217,-0.139240506329114,2041,0.430379746835443,0.764,2
"8",287,30.6822481646217,0.0379746835443038,1915,0.518987341772152,0.26,3
"9",288,30.6822481646217,-0.0506329113924051,2041,0.474683544303797,0.764,2
"10",289,30.6822481646217,0.0506329113924051,1915,0.525316455696203,0.26,3
"11",290,30.6822481646217,-0.0632911392405063,2041,0.468354430379747,0.764,2
"12",291,30.6822481646217,0.0632911392405063,1915,0.531645569620253,0.26,3
"13",292,30.6822481646217,-0.0632911392405063,2000,0.468354430379747,0.6,2
"14",293,30.6822481646217,-0.113924050632911,2007,0.443037974683544,0.628,2
"15",294,30.6822481646217,-0.189873417721519,2010,0.40506329113924,0.64,2
"16",295,30.6822481646217,-0.215189873417722,2011,0.392405063291139,0.644,2
"17",296,30.6822481646217,-0.177215189873418,2011,0.411392405063291,0.644,2
"18",297,30.6822481646217,-0.126582278481013,2010,0.436708860759494,0.64,2
"19",298,30.6822481646217,-0.0506329113924051,1987,0.474683544303797,0.548,2
"20",299,30.6822481646217,-0.0379746835443038,1988,0.481012658227848,0.552,2
"21",300,30.6822481646217,-0.0759493670886076,2000,0.462025316455696,0.6,2
"22",301,30.6822481646217,-0.177215189873418,2007,0.411392405063291,0.628,2
"23",302,30.6822481646217,-0.291139240506329,2011,0.354430379746835,0.644,2
"24",303,30.6822481646217,-0.367088607594937,2011,0.316455696202532,0.644,2
"25",304,30.6822481646217,-0.39240506329114,2011,0.30379746835443,0.644,2
"26",305,30.6822481646217,-0.379746835443038,2011,0.310126582278481,0.644,2
"27",306,30.6822481646217,-0.405063291139241,2011,0.29746835443038,0.644,2
"28",307,30.6822481646217,-0.405063291139241,2012,0.29746835443038,0.648,2
"29",308,30.6822481646217,-0.430379746835443,2017,0.284810126582278,0.668,2
"30",309,30.6822481646217,-0.430379746835443,2017,0.284810126582278,0.668,2
"31",310,30.6822481646217,-0.417721518987342,2017,0.291139240506329,0.668,2
"32",311,30.6822481646217,-0.405063291139241,2017,0.29746835443038,0.668,2
"33",312,30.6822481646217,-0.417721518987342,2017,0.291139240506329,0.668,2
"34",313,30.6822481646217,-0.481012658227848,2017,0.259493670886076,0.668,2
"35",314,30.6822481646217,-0.443037974683545,2017,0.278481012658228,0.668,2
"36",315,30.6822481646217,-0.468354430379747,2017,0.265822784810126,0.668,2
"37",316,30.6822481646217,-0.49367088607595,2017,0.253164556962025,0.668,2
"38",317,30.6822481646217,-0.518987341772152,2017,0.240506329113924,0.668,2
"39",318,30.6822481646217,-0.544303797468355,2017,0.227848101265823,0.668,2
"40",319,30.6822481646217,-0.518987341772152,2017,0.240506329113924,0.668,2
"41",320,30.6822481646217,-0.455696202531646,2017,0.272151898734177,0.668,2
"42",321,30.6822481646217,-0.253164556962025,2013,0.373417721518987,0.652,2
"43",322,30.6822481646217,-0.164556962025316,2012,0.417721518987342,0.648,2
"44",323,30.6822481646217,-0.177215189873418,2011,0.411392405063291,0.644,2
"45",324,30.6822481646217,-0.177215189873418,2009,0.411392405063291,0.636,2
"46",325,30.6822481646217,-0.215189873417722,2009,0.392405063291139,0.636,2
"47",326,30.6822481646217,-0.215189873417722,2011,0.392405063291139,0.644,2
"48",327,30.6822481646217,-0.253164556962025,2013,0.373417721518987,0.652,2
"49",328,30.6822481646217,-0.253164556962025,2013,0.373417721518987,0.652,2
"50",329,30.6822481646217,-0.215189873417722,2013,0.392405063291139,0.652,2
"51",330,30.6822481646217,-0.518987341772152,2017,0.240506329113924,0.668,2
"52",331,30.6822481646217,-0.531645569620253,2017,0.234177215189873,0.668,2
"53",332,30.6822481646217,-0.481012658227848,2017,0.259493670886076,0.668,2
"54",333,30.6822481646217,-0.164556962025316,2000,0.417721518987342,0.6,2
"55",334,30.6822481646217,-0.0632911392405063,2059,0.468354430379747,0.836,2
"56",335,30.6822481646217,-0.291139240506329,2017,0.354430379746835,0.668,2
"57",336,30.6822481646217,-0.303797468354431,2017,0.348101265822785,0.668,2
"58",337,30.6822481646217,-0.240506329113924,2017,0.379746835443038,0.668,2
"59",338,30.6822481646217,0.113924050632911,1935,0.556962025316456,0.34,3
"60",339,30.6822481646217,-0.0886075949367089,2037,0.455696202531646,0.748,2
"61",340,30.6822481646217,-0.126582278481013,2037,0.436708860759494,0.748,2
"62",341,30.6822481646217,-0.126582278481013,2037,0.436708860759494,0.748,2
"63",342,30.6822481646217,-0.0506329113924051,1962,0.474683544303797,0.448,3
"64",343,30.6822481646217,-0.0379746835443038,1962,0.481012658227848,0.448,3
"65",344,30.6822481646217,0.113924050632911,1941,0.556962025316456,0.364,3
"66",345,30.6822481646217,0.113924050632911,1941,0.556962025316456,0.364,3
