"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"1",-9.84619930657874,30.0055447630022,-0.354430379746836,2044,0.322784810126582,0.776,2
"10",-79.0940099641836,30.2067451926623,-0.531645569620253,2047,0.234177215189873,0.788,2
"11",-77.9762492424584,30.179158337542,-0.518987341772152,2037,0.240506329113924,0.748,2
"12",-76.8585597335316,30.1522472094813,-0.151898734177215,2009,0.424050632911392,0.636,2
"13",-75.7409389910748,30.1260223957983,-0.189873417721519,2009,0.40506329113924,0.636,2
"14",-74.623384593286,30.100494218185,-0.291139240506329,2008,0.354430379746835,0.632,2
"15",-73.5058941431567,30.0756727283263,-0.215189873417722,2000,0.392405063291139,0.6,2
"16",-72.3884652686527,30.0515677036256,0.227848101265823,1906,0.613924050632911,0.224,3
"17",-71.2710956228192,30.0281886430358,0.253164556962025,1906,0.626582278481013,0.224,3
"18",-70.1537828837987,30.0055447630022,0.177215189873418,1879,0.588607594936709,0.116,3
"19",-38.8838947015198,30.151979840136,0.189873417721519,1898,0.59493670886076,0.192,3
"20",-37.7677963616647,30.1533251356489,0.341772151898734,1898,0.670886075949367,0.192,3
"21",-36.6516941279776,30.155566701183,0.329113924050633,1898,0.664556962025317,0.192,3
"22",-35.5355860498985,30.1587036465354,0.341772151898734,1898,0.670886075949367,0.192,3
"23",-34.4194701725052,30.1627347259767,0.291139240506329,1898,0.645569620253165,0.192,3
"24",-33.3033445350756,30.1676583388061,0.278481012658228,1898,0.639240506329114,0.192,3
"25",-32.1872071696675,30.1734725300639,0.265822784810127,1898,0.632911392405063,0.192,3
"26",-31.071056099714,30.1801749914007,0.227848101265823,1898,0.613924050632911,0.192,3
"27",-29.9548893386436,30.1877630621047,0.164556962025316,1900,0.582278481012658,0.2,3
"28",-28.8387048885234,30.1962337302833,0.113924050632911,1898,0.556962025316456,0.192,3
"29",-27.7225007387354,30.2055836342007,0.0632911392405063,1898,0.531645569620253,0.192,3
"30",-26.6062748646823,30.2158090637703,0.0886075949367089,1900,0.544303797468354,0.2,3
"31",-25.4900252265322,30.2269059621985,0.151898734177215,1899,0.575949367088608,0.196,3
"32",-24.3737497680013,30.2388699277826,0.291139240506329,1899,0.645569620253165,0.196,3
"33",-23.2574464151812,30.2516962158576,0.316455696202532,1900,0.658227848101266,0.2,3
"34",-22.1411130754122,30.2653797408936,0.265822784810127,1900,0.632911392405063,0.2,3
"35",-21.0247476362062,30.2799150787411,0.20253164556962,1900,0.60126582278481,0.2,3
"36",-19.9083479642225,30.2952964690217,0.164556962025316,1900,0.582278481012658,0.2,3
"37",-18.7919119042994,30.3115178176653,0.10126582278481,1900,0.550632911392405,0.2,3
"38",-17.6754372785458,30.3285726995886,-0.113924050632911,2049,0.443037974683544,0.796,2
"39",-16.5589218854929,30.3464543615162,-0.20253164556962,2051,0.39873417721519,0.804,2
"40",-15.4423634993112,30.3651557249406,-0.303797468354431,2051,0.348101265822785,0.804,2
"41",-14.3257598690958,30.3846693892195,-0.291139240506329,2049,0.354430379746835,0.796,2
"42",-13.2091087182192,30.4049876348087,-0.278481012658228,2047,0.360759493670886,0.788,2
"43",-12.0924077437581,30.426102426628,-0.240506329113924,2044,0.379746835443038,0.776,2
"44",-10.975654615995,30.4480054175586,-0.291139240506329,2044,0.354430379746835,0.776,2
"45",-9.85884697799469,30.4706879520685,-0.354430379746836,2044,0.322784810126582,0.776,2
"54",-79.0778506943278,30.6790744413694,-0.70886075949367,2040,0.145569620253165,0.76,2
"55",-77.9605187836863,30.650502872512,-0.569620253164557,2037,0.215189873417721,0.748,2
"56",-76.8432612423215,30.6226309758079,-0.354430379746836,2016,0.322784810126582,0.664,2
"57",-75.7260754902222,30.595469728906,-0.20253164556962,2009,0.39873417721519,0.636,2
"58",-74.60895897498,30.5690298343929,-0.253164556962025,2008,0.373417721518987,0.632,2
"59",-73.4919091720456,30.5433217152254,-0.341772151898734,2000,0.329113924050633,0.6,2
"60",-72.3749235848958,30.518355510272,0.253164556962025,1903,0.626582278481013,0.212,3
"61",-71.2579997451145,30.4941410699653,0.189873417721519,1903,0.59493670886076,0.212,3
"62",-70.1411352123827,30.4706879520685,-0.164556962025316,2000,0.417721518987342,0.6,1
"63",-69.0243275743824,30.4480054175586,-0.164556962025316,2000,0.417721518987342,0.6,1
"64",-67.9075744466193,30.426102426628,0.126582278481013,1906,0.563291139240506,0.224,3
"65",-66.7908734721584,30.4049876348087,-0.139240506329114,2000,0.430379746835443,0.6,1
"66",-65.6742223212818,30.3846693892195,-0.151898734177215,2000,0.424050632911392,0.6,1
"67",-64.5576186910662,30.3651557249406,0.139240506329114,1901,0.569620253164557,0.204,3
"68",-63.4410603048848,30.3464543615162,0.139240506329114,1901,0.569620253164557,0.204,3
"69",-62.3245449118318,30.3285726995886,0.126582278481013,1895,0.563291139240506,0.18,3
"70",-61.208070286078,30.3115178176653,0.139240506329114,1908,0.569620253164557,0.232,3
"71",-60.0916342261549,30.2952964690217,-0.139240506329114,1998,0.430379746835443,0.592,1
"72",-58.9752345541712,30.2799150787411,-0.113924050632911,1999,0.443037974683544,0.596,1
"73",-57.8588691149652,30.2653797408936,-0.126582278481013,1999,0.436708860759494,0.596,1
"74",-56.7425357751962,30.2516962158576,-0.113924050632911,1999,0.443037974683544,0.596,1
"75",-55.6262324223763,30.2388699277826,-0.126582278481013,2000,0.436708860759494,0.6,1
"76",-54.5099569638454,30.2269059621985,-0.126582278481013,2000,0.436708860759494,0.6,1
"77",-53.3937073256953,30.2158090637703,-0.126582278481013,2000,0.436708860759494,0.6,1
"78",-52.2774814516422,30.2055836342007,-0.113924050632911,2000,0.443037974683544,0.6,1
"79",-51.1612773018542,30.1962337302833,-0.126582278481013,2000,0.436708860759494,0.6,1
"80",-50.0450928517341,30.1877630621047,-0.10126582278481,2000,0.449367088607595,0.6,1
"81",-48.9289260906634,30.1801749914007,-0.0886075949367089,2000,0.455696202531646,0.6,1
"82",-47.8127750207099,30.1734725300639,-0.0632911392405063,2000,0.468354430379747,0.6,1
"83",-46.6966376553018,30.1676583388061,0.0759493670886076,1902,0.537974683544304,0.208,3
"84",-45.5805120178725,30.1627347259767,0.0759493670886076,1898,0.537974683544304,0.192,3
"85",-44.4643961404791,30.1587036465354,0.0632911392405063,1898,0.531645569620253,0.192,3
"86",-43.3482880624,30.155566701183,0.0759493670886076,1898,0.537974683544304,0.192,3
"87",-42.2321858287129,30.1533251356489,0.10126582278481,1959,0.550632911392405,0.436,3
