"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"370",329.5,34.5,-0.341772151898734,2055,0.329113924050633,0.82,3
"371",330.5,34.5,-0.354430379746836,2055,0.322784810126582,0.82,3
"372",331.5,34.5,-0.341772151898734,2055,0.329113924050633,0.82,3
"373",332.5,34.5,-0.341772151898734,2038,0.329113924050633,0.752,3
"374",333.5,34.5,-0.189873417721519,2017,0.40506329113924,0.668,3
"375",334.5,34.5,-0.164556962025316,2017,0.417721518987342,0.668,3
"376",335.5,34.5,-0.164556962025316,2012,0.417721518987342,0.648,3
"377",336.5,34.5,-0.151898734177215,2065,0.424050632911392,0.86,3
"378",337.5,34.5,0.139240506329114,1965,0.569620253164557,0.46,2
"379",338.5,34.5,0.126582278481013,1962,0.563291139240506,0.448,2
"380",339.5,34.5,0.139240506329114,1962,0.569620253164557,0.448,2
"381",340.5,34.5,0.126582278481013,1962,0.563291139240506,0.448,2
"382",341.5,34.5,0.126582278481013,1962,0.563291139240506,0.448,2
"383",342.5,34.5,0.113924050632911,1962,0.556962025316456,0.448,2
"384",343.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"385",344.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"386",345.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"387",346.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"388",347.5,34.5,0.139240506329114,1962,0.569620253164557,0.448,2
"389",348.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"390",349.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"391",350.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"392",351.5,34.5,0.151898734177215,1962,0.575949367088608,0.448,2
"393",352.5,34.5,0.164556962025316,1962,0.582278481012658,0.448,2
"394",353.5,34.5,0.164556962025316,1962,0.582278481012658,0.448,2
"405",284.5,35.5,0.240506329113924,1940,0.620253164556962,0.36,2
"406",285.5,35.5,0.20253164556962,1919,0.60126582278481,0.276,1
"407",286.5,35.5,0.227848101265823,1923,0.613924050632911,0.292,1
"408",287.5,35.5,0.151898734177215,1995,0.575949367088608,0.58,2
"409",288.5,35.5,-0.139240506329114,1984,0.430379746835443,0.536,2
"410",289.5,35.5,0.126582278481013,1995,0.563291139240506,0.58,2
"411",290.5,35.5,0.10126582278481,1995,0.550632911392405,0.58,2
"412",291.5,35.5,0.0759493670886076,1921,0.537974683544304,0.284,1
"413",292.5,35.5,-0.164556962025316,2058,0.417721518987342,0.832,3
"414",293.5,35.5,-0.139240506329114,2025,0.430379746835443,0.7,3
"415",294.5,35.5,-0.113924050632911,2058,0.443037974683544,0.832,3
"416",295.5,35.5,-0.139240506329114,2058,0.430379746835443,0.832,3
"417",296.5,35.5,-0.139240506329114,2025,0.430379746835443,0.7,3
"418",297.5,35.5,-0.164556962025316,2025,0.417721518987342,0.7,3
"419",298.5,35.5,-0.164556962025316,2025,0.417721518987342,0.7,3
"420",299.5,35.5,-0.177215189873418,2025,0.411392405063291,0.7,3
"421",300.5,35.5,-0.177215189873418,2025,0.411392405063291,0.7,3
"422",301.5,35.5,-0.189873417721519,2025,0.40506329113924,0.7,3
"423",302.5,35.5,-0.189873417721519,2025,0.40506329113924,0.7,3
"424",303.5,35.5,-0.189873417721519,2025,0.40506329113924,0.7,3
"425",304.5,35.5,-0.177215189873418,2025,0.411392405063291,0.7,3
"426",305.5,35.5,-0.164556962025316,2025,0.417721518987342,0.7,3
"427",306.5,35.5,-0.164556962025316,2025,0.417721518987342,0.7,3
"428",307.5,35.5,-0.177215189873418,2025,0.411392405063291,0.7,3
"429",308.5,35.5,-0.177215189873418,2025,0.411392405063291,0.7,3
"430",309.5,35.5,-0.215189873417722,2025,0.392405063291139,0.7,3
"431",310.5,35.5,-0.278481012658228,2063,0.360759493670886,0.852,3
"432",311.5,35.5,-0.291139240506329,2025,0.354430379746835,0.7,3
"433",312.5,35.5,-0.278481012658228,2025,0.360759493670886,0.7,3
"434",313.5,35.5,-0.20253164556962,2025,0.39873417721519,0.7,3
"435",314.5,35.5,-0.20253164556962,2025,0.39873417721519,0.7,3
"436",315.5,35.5,-0.20253164556962,2060,0.39873417721519,0.84,3
"437",316.5,35.5,-0.20253164556962,2063,0.39873417721519,0.852,3
